Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Centro Comercial, Industrial y de la Producción Arroyo Seco;CECAS;1/9/2010;Si;SI;SI;SI;Vigente;1/7/2025;Sergio Ricci;1/7/2025;30592503715;OK;;;Santa Fe;Arroyo Seco; Lisandro de la Torre 250 (CP 2128) ARROYO SECO, Santa Fe  
Centro Comercial, Industrial y de la Producción de Calchaquí;;24/6/2009;NO;NO;NO;NO;Vencida;31/12/2017;Cristian Bournissent;31/12/2017;33699234619;CONSTANCIA BLOQUEADA;;;Santa Fe;Calchaqui; MITRE 240 (CP 3050) CALCHAQUI, Santa Fe  
Centro Comercial, Industrial y de la Producción de Concepción del Uruguay;CECOM;00/00/0000;Si;SI;SI;SI;Vigente;1/10/2025;Abramovich José;1/10/2025;30520535264;OK;;;Entre Ríos;Concepcion Del Uruguay; EVA PERON 38 1 (CP 3260) CONCEPCION DEL URUGUAY, Entre Ríos  
Centro Comercial, Industrial y de la Producción de Sunchales;CCIP;20/5/2009;NO;NO;SI;NO;Vencida;31/12/2023;César Alemani;31/12/2023;30565237531;OK;;;Santa Fe;Sunchales; 25 DE MAYO 473 (CP 2322) SUNCHALES, Santa Fe  
Centro Comercial, Industrial y de la Producción de Villa Constitución;CCIPVC;19/10/2001;Si;SI;SI;SI;Vigente;22/3/2025;Martín González;22/3/2025;30529936601;OK;;;Santa Fe;Villa Constitucion; SARMIENTO 902 (CP 2919) VILLA CONSTITUCION, Santa Fe  
Centro Comercial, Industrial y de la Propiedad de Las Varillas;CECIP;1/8/1988;NO;NO;SI;NO;Vigente;24/08/2024;Marta Rita Eugenia Saluzzo;24/8/2024;30669149162;OK;;;Córdoba;Las Varillas; BELGRANO (ESQUINA SARMIENTO) 1 (CP 5940) LAS VARILLAS, Córdoba  
Centro Comercial, Industrial y de Propietarios de Bienes Raíces de Rafael Calzada;;26/3/1982;NO;NO;NO;NO;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30568949214;CONSTANCIA BLOQUEADA;;;Buenos Aires;Rafael Calzada; COLÓN 3375 (CP 1847) RAFAEL CALZADA, Buenos Aires  
Centro Comercial, Industrial y de Propietarios de Quilmes;CCIPQ;21/6/2012;NO;SI;SI;NO;Vigente;30/1/2025;Juan Marcelo Campos;30/1/2025;30529177182;OK;;;Buenos Aires;Quilmes; RIVADAVIA 92 Piso 1 (CP 1878) QUILMES, Buenos Aires  
Centro Comercial, Industrial y de Servicios de Laboulaye;C.C.I.Y S.LBYE.;12/8/1987;NO;NO;SI;SI;Vigente;19/7/2027;Ángel Horacio Ceccon;19/7/2027;30527510860;OK;;;Córdoba;Laboulaye; AVENIDA INDEPENDENCIA 232 1 Of. 22 (CP 6120) LABOULAYE, Córdoba  
Centro Comercial, Industrial y de Servicios de Marcos Juárez;;10/1/1986;NO;NO;SI;SI;Vencida;16/11/2019;Victor Longo Vaschetti;16/11/2019;30545049542;OK;;;Córdoba;Marcos Juarez; ESPAÑA 125 (CP 2580) MARCOS JUAREZ, Córdoba  
Centro Comercial, Industrial y Profesional de Juan María Gutierrez;CCIP;17/5/2012;NO;SI;SI;SI;Vigente;30/9/2023;Mariel Alicia Mazza;30/6/2025;30711097011;OK;;;Buenos Aires;Juan Maria Gutierrez; Calle 416 e/ Camino Real Norte y Sur (CP 1890) JUAN MARIA GUTIERREZ, Buenos Aires  
Centro Comercial, Industrial y Rural de Armstrong;CCIR;6/8/2015;NO;SI;SI;SI;Vencida;30/1/2020;Marcela Silvi;30/1/2020;30623877929;OK;;;Santa Fe;Armstrong; Av. Roldan 1627 PB loc.2 (CP 2508) ARMSTRONG, Santa Fe  
Centro Comercial, Industrial, Rural y de Servicios de Ceres;CCIR y S;18/6/2009;NO;NO;SI;NO;Vigente;4/6/2026;Martín Ricardo Falcón;4/6/2026;30565202118;OK;;;Santa Fe;Ceres; REMEDIOS ESCALADA DE SAN MARTIN 138 (CP 2340) CERES, Santa Fe  
Centro Comercial, Profesional, Industrial, Prestadores de Servicios y Afines del Distrito Monte Vera;CECOMOVE;30/10/2008;NO;SI;SI;SI;Vencida;28/5/2021;Hernán Dorigo;28/5/2021;30711678138;BAJA DE OFICIO;;;Santa Fe;Monte Vera; RIO NEGRO 1252 (CP 3014) MONTE VERA, Santa Fe  
Centro de Actividades Económicas de Chajarí;CAECH;16/7/2009;NO;SI;SI;SI;Vigente;1/2/2026;Gustavo Percara;1/2/2026;30599578079;OK;;;Entre Ríos;Chajari; AVENIDA BELGRANO 1250 (CP 3228) CHAJARI, Entre Ríos  
Centro de Almaceneros, Autoservicios y Comerciantes Minoristas de Córdoba;;26/9/1981;NO;NO;SI;SI;Vencida;5/12/2021;Victor Francisco Marconetti;5/12/2021;30526264017;BAJA DE OFICIO;;;Córdoba;Cordoba; LIMA 379 (CP 5000) CORDOBA, Córdoba  
Centro de Comerciantes de Belgrano;;16/12/1981;NO;NO;SI;NO;Vencida;31/12/2019;Osvaldo Distéfano;31/12/2019;30558795057;BAJA DE OFICIO;;;CABA;; Av. Monroe 2630 8 b (CP 1428) Ciudad Autónoma de Buenos Aires  
Centro de Comerciantes, Industriales y Propietarios de Remedios de Escalada;;20/1/2004;NO;NO;SI;NO;Vencida;28/2/2020;Ricardo Caruso;28/2/2020;30529909442;OK;;;Buenos Aires;Remedios De Escalada; JUAN DE GARAY 77 (CP 1826) REMEDIOS DE ESCALADA, Buenos Aires  
Centro de Comerciantes, Industriales y Propietarios de Wilde;;16/10/2001;NO;NO;SI;NO;Vigente;1/8/2025;José Ángel Mataffo;1/8/2025;30544805025;OK;;;Buenos Aires;Wilde; LAS FLORES 24 2 (CP 1875) WILDE, Buenos Aires  
Centro de Comercio e Industria de Baradero;;00/00/0000;NO;SI;SI;SI;Vigente;25/4/2026;Francisco Pederiva;25/4/2026;30526201511;OK;;;Buenos Aires;Baradero; GENERAL SAN MART 1232 (CP 2942) BARADERO, Buenos Aires  
Centro de Comercio e Industria de Carlos Tejedor;;26/3/1982;NO;NO;NO;NO;Vencida;31/12/2022;Natalia Edith Toledo;31/12/2022;0;SIN CUIT;SI;27/11/1982;Buenos Aires;Carlos Tejedor; ALBERTO ALMIRON 428 (CP 6455) CARLOS TEJEDOR, Buenos Aires  
Centro de Comercio e Industria de la Ciudad de La Banda;;00/00/0000;Si;SI;SI;SI;Vigente;23/05/2026;Stella Maris Gallegos;23/05/2026;30659598791;OK;;;Santiago del Estero;La Banda; ALBERDI 135 (CP 4300) LA BANDA, Santiago del Estero  
Centro de Comercio e Industria de San Pedro;CCISP;24/11/1981;NO;NO;SI;NO;Vigente;1/3/2025;Raúl E. Cheyllada;31/3/2025;30528163293;OK;;;Buenos Aires;San Pedro; BARTOLOME MITRE 650 (CP 2930) SAN PEDRO, Buenos Aires  
Centro de Comercio e Industria y Producción de Villa Ramallo;;9/11/1981;NO;NO;SI;NO;Vigente;20/2/2019;Alejandro Natalini;1/12/2026;30628749260;OK;;;Buenos Aires;Villa Ramallo; AVENIDA SAN MARTIN 179 (CP 2914) VILLA RAMALLO, Buenos Aires  
Centro de Comercio, Industria y Afines de Las Termas de Río Hondo;;00/00/0000;NO;NO;SI;NO;Vigente;28/07/2026;Roxana Cec ilia Paz;28/7/2026;33675065859;OK;;;Santiago del Estero;Termas De Rio Hondo; CASEROS 268 (CP 4220) TERMAS DE RIO HONDO, Santiago del Estero  
Centro de Comercio, Industria y Servicios de Concordia;CCISC;7/1/2005;Si;SI;SI;SI;Vigente;30/5/2024;Adrián Mauricio Lampazzi;18/9/2024;30530617668;OK;;;Entre Ríos;Concordia; LA RIOJA 622 PB (CP 3200) CONCORDIA, Entre Ríos  
Centro de Comercio, Industria, Producción y Afines de Fernández;CECiPAF;10/11/2011;NO;NO;NO;NO;Vencida;30/6/2020;Alejandro Duran;30/6/2020;0;SIN CUIT;SI;04/11/2011;Santiago del Estero;Fernandez; Av. San Martín esq. 9 de Julio (CP 4322) FERNANDEZ, Santiago del Estero  
Centro de Comercio, Industria, Producción y Propiedad de San Andrés de Giles;CCIPP;17/7/2014;NO;NO;SI;NO;Vencida;7/3/2021;Juan Manuel Silva;1/11/2021;33610735229;OK;;;Buenos Aires;San Andres De Giles; MORENO 459 (CP 6720) SAN ANDRES DE GILES, Buenos Aires  
Centro de Comercio, Propiedad e Industria de Tres Algarrobos;CCPITA;26/11/1981;NO;NO;SI;NO;Vencida;4/9/2026;María Emilia Pérez;30/4/2021;30666689743;OK;;;Buenos Aires;Tres Algarrobos; 25 DE MAYO 221 (CP 6231) TRES ALGARROBOS, Buenos Aires  
Centro de Defensa Comercial del Sur;CEDECO;19/11/2020;NO;SI;SI;SI;Vigente;31/12/2023;Gerardo Orlando;20/12/2026;30644098326;OK;;;Tucumán;Concepcion; N. AVELLANEDA 190 1 Of. 1 (CP 4146) CONCEPCION, Tucumán  
Centro de Defensa Comercial e Industrial de Gualeguaychú;CDCI;21/9/2001;NO;SI;SI;SI;Vencida;31/12/2023;Alejandro Rafael Vela;30/5/2023;30563730516;OK;;;Entre Ríos;Gualeguaychu; 25 DE MAYO 1008 (CP 2820) GUALEGUAYCHU, Entre Ríos  
Centro de Empresarios de Romang;CER;23/5/2013;NO;SI;SI;SI;Vigente;30/4/2025;Juan Alberto Mendoza;30/4/2025;30576418619;OK;;;Santa Fe;Romang; SAN MARTIN 1679 (CP 3555) ROMANG, Santa Fe  
Centro de Empresarios Regional de Bell Ville;CER - BELL;21/8/2001;NO;NO;SI;NO;Vencida;11/6/2022;Martin Gonella;12/5/2024;33572308389;OK;;;Córdoba;Bell Ville;Hipólito Irigoyen 338
Centro de Industria y Comercio de Realicó;CICRE;00/00/0000;NO;SI;SI;SI;Vencida;31/12/2022;Jorge Daniel Barrozo;31/12/2022;30625562887;BAJA DE OFICIO;;;La Pampa;Realico; ESPAÑA 1851 (CP 6200) REALICO, La Pampa  
Centro de Industria, Comercio y Afincados de Esperanza;CICAE;00/00/0000;Si;SI;SI;SI;Vigente;12/4/2025;Gustavo Bisang;12/4/2025;30521142703;OK;;;Santa Fe;Esperanza; A. Aufranc 998 (CP 3080) ESPERANZA, Santa Fe  
Centro de Informes Comerciales de Resistencia;CICRE;00/00/0000;NO;SI;SI;SI;Vencida;30/4/2019;Aldo Ramón Ramírez;30/4/2019;30581105793;OK;;;Chaco;Resistencia; GENERAL VEDIA 184 Planta Alta (CP 3500) RESISTENCIA, Chaco  
Centro de Viñateros y Bodegueros del Este;CVyBE;6/10/2016;NO;SI;SI;SI;Vencida;31/12/2020;Fernando Javier Palau;23/3/2024;30541512426;OK;;;Mendoza;General San Martin; ALVEAR MARCELO T. DE 280 PB (CP 5570) GENERAL SAN MARTIN, Mendoza  
Centro Despachantes de Aduanas;CDA;29/8/2018;NO;SI;SI;SI;Vigente;10/12/2022;Hector Gerardo Pardal;10/12/2025;30525408112;OK;;;CABA;; DEFENSA 302 (CP 1065) Ciudad Autónoma de Buenos Aires  
Centro Económico de Cañada de Gómez;;11/4/1990;NO;NO;SI;NO;Vigente;26/4/2026;Marcelo Luis Ardizzi;26/4/2026;30525623455;OK;;;Santa Fe;Cañada De Gomez; LAVALLE 1043 (CP 2500) CAÑADA DE GOMEZ, Santa Fe  
Centro Económico de Correa;CEC;6/8/2015;NO;SI;SI;SI;Vigente;21/6/2025;Jorge Sebastian Scarafiocca;23/5/2025;30712495738;OK;;;Santa Fe;Correa; 25 DE MAYO 1075 (CP 2506) CORREA, Santa Fe  
Centro Económico de Suardi;;00/00/0000;NO;NO;SI;NO;Vencida;30/12/2018;Elcar Prochetto;30/12/2018;30674288219;BAJA DE OFICIO;;;Santa Fe;Suardi; RIVADAVIA 487 (CP 2349) SUARDI, Santa Fe  
Centro Económico Firmat;CEF;00/00/0000;Si;SI;SI;SI;Vigente;14/11/2024;Miguel Blas Garrofe;13/11/2024;30674792251;OK;;;Santa Fe;Firmat; BELGRANO 1266 (CP 2630) FIRMAT, Santa Fe  
Centro Económico Gualeguay;CEG;1/11/2012;NO;SI;SI;SI;Vencida;31/12/2020;Gabino Nuñez;31/12/2020;30586534781;OK;;;Entre Ríos;Gualeguay; GREGORIO MORAN 341 (CP 2840) GUALEGUAY, Entre Ríos  
Centro Económico para el Desarrollo de Carcarañá;CEDECA;5/12/2013;NO;SI;SI;SI;Vigente;4/4/2025;Carlos Benjamín Voss;30/4/2025;30707808620;OK;;;Santa Fe;Carcaraña; Belgrano 1901 (CP 2138) CARCARAÑA, Santa Fe  
Centro Económico Pérez;CEP;21/8/2014;NO;SI;SI;SI;Vencida;30/12/2019;Pablo Fellipelli;30/4/2024;30592922653;OK;;;Santa Fe;Perez; 25 DE MAYO 1802 (CP ) PEREZ, Santa Fe  
Centro Económico San José de la Esquina Asociación Civil;;14/1/2010;Si;SI;SI;SI;Vigente;24/5/2025;Miguel Ángel Scoponi;30/4/2026;30695663818;OK;;;Santa Fe;San Jose De La Esquina; Santa Clara 1034 (CP 2185) SAN JOSE DE LA ESQUINA, Santa Fe  
Centro Empresario de Azul;CEDA;24/11/1981;NO;NO;SI;NO;Vigente;31/12/2025;Ramiro Layus;31/12/2025;30529149553;OK;;;Buenos Aires;Azul; ESPAÑA 620 (CP 7300) AZUL, Buenos Aires  
Centro Empresario de Tartagal;CET;18/9/2009;NO;NO;SI;SI;Vigente;2/12/2025;Franco Galeano;2/12/2025;30673142652;BAJA DE OFICIO;;;Salta;Tartagal; PARGUAY 180 (CP 4560) TARTAGAL, Salta  
Centro Empresario, Comercial, Industrial y de Servicios de Río Cuarto;CECIS;10/7/1981;Si;SI;SI;SI;Vigente;30/12/2024;Atilio Lunardi;30/12/2024;30533132010;OK;;;Córdoba;Rio Cuarto; CONSTITUCION 846 3 (CP 5800) RIO CUARTO, Córdoba  
Centro Industrial y Comercial de Avellaneda;CICA;12/1/2012;NO;SI;SI;SI;Vigente;31/12/2024;Milton Luciano Raffin;31/12/2024;33653206939;OK;;;Santa Fe;Avellaneda; Calle 14 671 (CP 3561) AVELLANEDA, Santa Fe  
Centro Industrial y Comercial de Reconquista;CIC;5/8/2005;Si;SI;SI;SI;Vigente;25/10/2023;Eliana Berrone;30/1/2025;30623981475;OK;;;Santa Fe;Reconquista; BELGRANO 1025 (CP 3560) RECONQUISTA, Santa Fe  
Centro PYME Bernal - Don Bosco;;1/8/2003;NO;NO;NO;NO;Vencida;1/1/2021;Manuel Nahabedian;1/1/2021;30707694374;BAJA DE OFICIO;;;Buenos Aires;Bernal; MADAME CURIE 705 (CP 1879) BERNAL, Buenos Aires  
Centro Regional de Producción, Industria y Comercio de Franck;CPIC;14/5/2009;NO;NO;SI;NO;Vigente;24/4/2024;Sergio Barrios;24/4/2025;33636307969;OK;;;Santa Fe;Franck; BELGRANO 1955 (CP 3009) FRANCK, Santa Fe  
Centro Regional del Comercio, Industria, Agricultura y Ganadería de Santo Tomé;CRCIAGST;19/1/2012;NO;NO;SI;SI;Vigente;30/9/2024;Rubén Darío Ruzicki;30/9/2024;30595216555;OK;;;Santa Fe;Santo Tome; Almirante Brown 2028 (CP 3016) SANTO TOME, Santa Fe  
Centro Regional Empresarial de Juana Koslay;CREJK;30/5/2013;NO;SI;SI;SI;Vencida;1/1/2021;Sandra Ucelay Lombardi;1/1/2021;30712545352;CONSTANCIA BLOQUEADA;;;San Luis;San Luis; Av. Viento Chorrillero 2988 (CP 5701) SAN LUIS, San Luis  
Centro Unión Comercial e Industrial de Bragado;CUCI;23/1/2009;Si;SI;SI;SI;Vigente;31/12/2025;Guillermo Adrián Anso;23/3/2025;30528008255;OK;;;Buenos Aires;Bragado; BROWN 139 (CP 6640) BRAGADO, Buenos Aires  
Centro Unión Comercio e Industrias de Lincoln;CUCI;19/8/1997;NO;NO;SI;NO;Vencida;31/12/2022;Natalia Carolina Rojo;31/3/2024;30534496296;OK;;;Buenos Aires;Lincoln; AV. MASSEY 808 (CP 6070) LINCOLN, Buenos Aires  
Colegio de Corredores Inmobiliarios de la Provincia del Chaco;CCICH;16/7/2009;Si;SI;SI;SI;Vencida;30/6/2023;Sergio Daniel Centurion;30/6/2023;30711018529;OK;;;Chaco;Resistencia; PEATONAL PERON 111 2 (CP 3500) RESISTENCIA, Chaco  
Comité Argentino de Blueberries AC;ABC;29/1/2014;Si;SI;SI;SI;Vigente;1/4/2025;Jorge Pazos;1/4/2025;30711923183;OK;;;CABA;; CIUDAD DE LA PAZ 1972 4 D (CP 1428) Ciudad Autónoma de Buenos Aires  
Confederación de Entidades del Comercio de Hidrocarburos y Afines de la República Argentina;CECHA;10/7/1995;NO;SI;SI;SI;Vigente;1/8/2025;Sergio Isabelino Rodríguez;1/8/2025;30560492150;OK;;;CABA;; AVENIDA DE MAYO 633 Piso 2 Of. 12 (CP 1084) Ciudad Autónoma de Buenos Aires  
Confederación de PYMES Constructoras de la República Argentina;CPC;27/10/2009;Si;SI;SI;SI;Vencida;30/3/2024;Gerardo Fernandez;20/10/2023;30710692056;OK;;;Tucumán;San Miguel De Tucuman; SAN MARTIN 427 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Confederación Económica de la Provincia de Buenos Aires;CEPBA;12/11/1999;NO;SI;SI;SI;Vigente;18/6/2026;Guillermo Siro;18/6/2026;30625282744;OK;;;Buenos Aires;La Plata; Av. 53 ENTRE 3 Y 4 462 (CP 1900) LA PLATA, Buenos Aires  
Confederación Económica de Misiones;CEM;17/7/2017;Si;SI;SI;SI;Vigente;5/12/2024;Federico Guillermo Fachinello;5/12/2024;33637499209;OK;;;Misiones;Posadas; SARMIENTO 2183 2 A (CP 3300) POSADAS, Misiones  
Consejo para la Producción y el Desarrollo de Coronel Suárez;COPRODESU;1/12/2005;NO;NO;NO;NO;Vencida;31/7/2016;Víctor Daniel Schwab;31/7/2016;30707681485;CONSTANCIA BLOQUEADA;;;Buenos Aires;Coronel Suarez; Belgrano 827 (CP 7540) CORONEL SUAREZ, Buenos Aires  
Consorcio Apícola del Chaco;CAPICH;28/2/2013;NO;SI;SI;NO;Vencida;31/12/2020;Daniel Codutti;31/12/2020;30712299106;OK;;;Chaco;Margarita Belen; JOSE LUIS MENDEZ 320 (CP 3505) MARGARITA BELEN, Chaco  
Cooperativa Agroindustrial Jóvenes Productores El Kakán Ltda.;CPKA;21/5/2015;NO;SI;SI;SI;Vencida;30/9/2017;Arístides Carrizo Kurt;30/9/2017;30714798134;OK;;;Catamarca;Palo Blanco; CALLE PÚBLICA S/N (CP 5341) PALO BLANCO, Catamarca  
Cooperativa Agropecuaria de Producción y Consumo Alcaparras Argentinas;;5/11/2009;NO;SI;SI;SI;Vencida;30/3/2021;Pablo Rico;30/3/2021;30710035691;OK;;;Santiago del Estero;Santiago Del Estero; Ruta Nacional 34 nueva km 724/5 (CP ) LA BANDA, Santiago del Estero   AVENIDA ROCA 982 (CP 4200) SANTIAGO DEL ESTERO, Santiago del Estero  
Cooperativa Agropecuaria e Industrial Yapeyú Ltda.;CAIYAL;8/4/2010;NO;NO;SI;NO;Vigente;31/10/2026;Luis Alejandro Mancini;30/10/2026;30698090339;OK;;;Misiones;Obera; AV. JOSE INGENIEROS 527 (CP 3360) OBERA, Misiones  
Cooperativa Agropecuaria Producer Ltda.;PRODUCER;31/12/2009;NO;NO;SI;NO;Vencida;31/12/2023;Juan Jose Velchuk;31/12/2023;33709494169;CONSTANCIA BLOQUEADA;;;Chaco;Villa Angela; Pellegrini 482 (CP 3540) VILLA ANGELA, Chaco  
Cooperativa Agropecuaria Renacer Ltda;CAR;20/5/2010;NO;NO;NO;SI;Vencida;31/7/2017;Osvaldo Basilio Luque;31/7/2017;30709016586;CUIT INACTIVO;;;Salta;Rosario De La Frontera; Melchora Figueroa de Cornejo 942 (CP 4190) ROSARIO DE LA FRONTERA, Salta  
Cooperativa Agropecuaria San Isidro del Rodeo LTDA.;;9/12/2015;NO;SI;SI;SI;Vigente;31/12/2024;Francisco Ayudarte Ferro;31/12/2024;30714263516;OK;;;Tucumán;Tafi Del Valle; Ruta 325 Km 7.5 (CP 4137) TAFI DEL VALLE, Tucumán  
Cooperativa Agropecuaria y Apícola Norte Grande LTDA.;;9/10/2014;NO;SI;SI;SI;Vencida;31/12/2023;Sergio Orlando Medina;30/5/2024;30708692553;OK;;;Tucumán;Famailla; RP 301 KM 17.5 LOTE 1 (CP 4128) LULES, Tucumán  P. Industrial Kanamico. Lote 1  
"Cooperativa Agropecuaria, Carnicera, Forestal ""Cuenca Superior Río Chubut y Gualjaina Limitada""";CUSURCHyG Ltda.;18/9/2014;NO;SI;SI;NO;Vencida;30/5/2019;Néstor Daniel Castillo;30/5/2019;30714089915;OK;;;Chubut;Esquel; Avenida Holdich 862 1 (CP 9200) ESQUEL, Chubut  
"Cooperativa Apícola, Agropecuaria, Forestal ""Las Abejas"" Ltda.";;12/8/2015;NO;SI;SI;SI;Vencida;30/5/2019;Juan Rubén Bratz;30/5/2019;30710700520;OK;;;Misiones;Colonia 25 De Mayo; Colonizadores 275 (CP 3363) COLONIA 25 DE MAYO, Misiones  
Cooperativa Azucarera Cuenca Orgánica Ltda.;COPACOL;3/12/2009;NO;NO;NO;NO;Vencida;31/12/2018;Juan Ramón Pereyra;31/12/2018;30711023433;BAJA DE OFICIO;;;Misiones;San Javier; B. JUAN PAULO sin nro. (CP 3357) SAN JAVIER, Misiones  
Cooperativa de Agua Potable y Otros Servicios Públicos de Doblas Lda.;COSEDO;20/10/2016;NO;SI;SI;SI;Vencida;31/12/2020;Jorge A. Paez;31/12/2020;30545833626;OK;;;La Pampa;Doblas; Fco. Lizaso 740 (CP 6305) DOBLAS, La Pampa  
Cooperativa de Productores Agropecuarios del Tucumán Ltda.;COPAT;10/12/2009;NO;NO;SI;NO;Vencida;11/4/2020;Luis Fernando Umana;11/4/2020;33708194609;CONSTANCIA BLOQUEADA;;;Tucumán;San Miguel De Tucuman; Mendoza 490 6 19 Of. 22 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Cooperativa de Productores Apícolas Santa Sylvina Ltda.;COOPASS;3/12/2009;NO;NO;SI;NO;Vencida;30/10/2020;H. Carlos Maurino;30/10/2020;30710035497;OK;;;Chaco;Santa Sylvina; Della Savia 170 (CP 3541) SANTA SYLVINA, Chaco  
Cooperativa de Productores Yerbateros de Jardín América Ltda.;CPYJA;2/8/2012;NO;NO;SI;SI;Vencida;31/12/2020;Naritoshi Mikami;31/12/2023;30579670084;OK;;;Misiones;Jardin America; Ruta Nacional 12 Km 1436 (CP 3328) JARDIN AMERICA, Misiones  
Cooperativa de Trabajo Integrar Ltda.;INTEGRAR;17/12/2009;NO;NO;NO;NO;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30708582901;BAJA DE OFICIO;;;Chaco;Villa Angela; MUÑOZ 710 (CP 3540) VILLA ANGELA, Chaco  
Cooperativa La Solidaria - Santiago del Estero;;3/12/2009;NO;NO;NO;NO;Vencida;1/1/2021;Justo Pastor Luna;1/1/2021;0;SIN CUIT;SI;03/12/2009;Santiago del Estero;Urutau; URUTA sin nro. (CP 3714) URUTAU, Santiago del Estero  
Cooperativa Minera de Productores Arena y Piedra del Noreste;;11/3/2010;NO;NO;SI;SI;Vigente;24/7/2025;Ariel Mauricio Righetti;24/7/2025;30586292990;OK;;;Chaco;Villa Forestacion; Av. del Río 235 (CP 3503) VILLA FORESTACION, Chaco  Parque industrial chaco  
Cooperativa Regional de Productores de Aloe Villa Ángela Ltda.;COORPAVAL;1/7/2010;NO;NO;NO;SI;Vencida;30/6/2017;Ricardo Darío Peralta;30/6/2017;30710792425;BAJA DE OFICIO;;;Chaco;Villa Angela; San Martín 725 (CP 3540) VILLA ANGELA, Chaco  
Cooperativa Trabajo Cigarros de Catamarca Ltda - CICAT;CICAT;3/2/2011;NO;SI;SI;SI;Vencida;31/12/2020;Jesús Modesto Luna;31/12/2020;30708546565;CUIT CANCELADA;;;Catamarca;Yerba Buena; Santo Domingo Esq. Guayana 1100 0 0 0 (CP 4107) YERBA BUENA, Catamarca  
Coopsol Cooperativa de Trabajo Ltda.;;5/11/2009;NO;NO;SI;NO;Vigente;31/12/2024;Rene Humberto Sayago;31/12/2024;30651151747;OK;;;Santiago del Estero;La Banda; Ruta 51 km 6 (CP 4300) LA BANDA, Santiago del Estero  
Corporación del Comercio, Industria y Servicios de Bahía Blanca;CCIS;00/00/0000;Si;SI;SI;SI;Vigente;31/8/2025;Jorge Horacio Bonacorsi;31/8/2025;30525503174;OK;;;Buenos Aires;Bahia Blanca; ALSINA 19 2 (CP 8000) BAHIA BLANCA, Buenos Aires  
Corporación Empresaria de Buenos Aires;;00/00/0000;NO;NO;NO;NO;Vigente;30/12/2022;Fernando Rubén Echevarría;17/11/2024;30716884755;OK;;;Buenos Aires;; HOLMBERG 2065 (CP 1430) Buenos Aires  
Corporación Industrial, Comercial, Agropecuaria Regional de General Pico;CICAR;14/2/1991;NO;NO;NO;NO;Vencida;31/12/2019;Gabriel Federico Martín;31/12/2019;30576266738;BAJA DE OFICIO;;;La Pampa;General Pico; Calle 13 749 (CP ) GENERAL PICO, La Pampa  
Corporación para el Desarrollo de la Cuenca de Pozuelos;CODEPO;10/12/2009;NO;NO;SI;SI;Vencida;31/12/2016;Liberato Rubén Vilca;31/12/2016;30660424608;OK;;;Jujuy;San Salvador De Jujuy; JAIME FREIRE (ESQUINA HUGO WAST) sin nro. (CP 4600) SAN SALVADOR DE JUJUY, Jujuy  
Federación Argentina de Asociaciones de Empresas de Viajes y Turismo;FAEVYT;1/3/2012;Si;SI;SI;SI;Vigente;30/10/2024;Andrés Deyá;30/10/2024;30544429791;OK;;;CABA;; Viamonte 640 Piso 10 (CP 1053) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Asociaciones de Talleres de Reparación de Automotores y Afines;FAATRA;00/00/0000;Si;SI;SI;SI;Vigente;30/9/2024;Salvador Ángel Lupo;30/9/2024;30709223409;OK;;;Santa Fe;Rosario; La Paz 1864 (CP 2000) ROSARIO, Santa Fe  
Federación Argentina de Cámaras de Comerciantes en Repuestos del Automotor;FACCERA;23/4/2009;NO;NO;SI;NO;Vigente;1/4/2026;Cristhian Cesar Castañer;1/4/2026;30648899447;OK;;;CABA;; Bernardo de Irigoyen 546 (CP ) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Cámaras de Farmacias;FACAF;4/10/1989;NO;SI;SI;SI;Vencida;30/5/2023;Miguel Angel Lombardo;30/5/2023;30632378056;OK;;;CABA;; AVENIDA EDUARDO MADERO 942 12 (CP ) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Entidades de Servicios Fúnebres y Afines;FADEDSFYA;24/8/1984;NO;NO;SI;SI;Vigente;1/6/2026;Jorge Omar Diniello;1/2/2026;30596055229;OK;;;CABA;; CALLAO 852 Piso 5 (CP 1023) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Exhibidores Cinematográficos;FADEC;20/10/2016;NO;SI;SI;SI;Vencida;20/1/2017;Elena Adriana Suñe;20/1/2017;33527148699;BAJA DE OFICIO;;;CABA;; AYACUCHO 457 Piso 1 Of. 13 (CP 1026) Ciudad Autónoma de Buenos Aires  
Federación Argentina de Jóvenes Empresarios;FEDAJE;19/12/2008;NO;SI;SI;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30714193127;CONSTANCIA BLOQUEADA;;;CABA;;Av. Leandro N. Alem 452
